TweetID,LangID,TopicID,HateLabel
1375431620363173894,0,3,0
1375428003593863168,0,3,2
1375426901217587205,0,3,2
1375426047852875779,0,3,2
1375425096370765827,0,3,0
1375421970528014340,0,3,2
1375420105291599873,0,3,0
1375417704807550977,0,3,0
1375414562128867333,0,3,0
1375413917581709320,0,3,2
1375413449933590531,0,3,1
1375412333166608388,0,3,2
1375411689508769796,0,3,2
1375411496344240128,0,3,2
1375408974913224705,0,3,0
1375408589779656705,0,3,2
1375406119800209408,0,3,2
1375404198183993345,0,3,0
1375403730431016962,0,3,0
1375401381155196929,0,3,0
1375400991625986055,0,3,2
1375400657923022850,0,3,0
1375399677491879939,0,3,0
1375398062655348740,0,3,0
1375396494577123328,0,3,0
1375394793971388417,0,3,1
1375393444491890696,0,3,0
1375390845508149249,0,3,0
1375390191645507584,0,3,2
1375390076906131464,0,3,2
1375389522352082951,0,3,2
1375388875942678529,0,3,2
1375387064636674049,0,3,0
1375386978611499008,0,3,0
1375386934416138241,0,3,1
1375386131227901953,0,3,0
1375383100683911169,0,3,0
1375382837721989120,0,3,2
1375382500629999616,0,3,0
1375382238204817408,0,3,2
1375382014342352899,0,3,0
1375376666558660609,0,3,2
1375375462327803905,0,3,0
1375375034252980227,0,3,2
1375373864822321152,0,3,0
1375371916723294209,0,3,0
1375370285403287554,0,3,2
1372996537370951683,0,3,0
1372995480142163969,0,3,0
1372994044150870021,0,3,0
1372993904392409088,0,3,0
1372993888970022913,0,3,0
1372993251456774150,0,3,2
1372991770183749633,0,3,0
1372991702613565441,0,3,0
1372991017880805376,0,3,0
1372990269524692994,0,3,0
1372990165396885506,0,3,0
1372988891754545155,0,3,2
1372986905797746689,0,3,0
1372986537932169216,0,3,0
1372986220033228806,0,3,0
1372986131852234753,0,3,0
1372985960653262853,0,3,0
1372985532532334594,0,3,0
1372984984647127043,0,3,0
1372984759283032077,0,3,2
1372984387445403649,0,3,0
1372983984452435978,0,3,0
1372983468792160259,0,3,2
1372983012804210689,0,3,0
1372982064195178496,0,3,0
1372981833508478978,0,3,0
1372981553630957569,0,3,0
1372980960430592008,0,3,1
1372979229223182338,0,3,0
1372976238755741696,0,3,0
1372975942604296196,0,3,0
1372974014789005316,0,3,0
